                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.50972,                0.67506,                 1.1916,                0.90181,                0.88396,                0.90788,                0.77711,                0.66784,                0.60533,                 1.1518,             0.00029687,             0.00029687,             0.00029687
                     46,                0.51027,                0.66365,                 1.1938,                0.91697,                0.88853,                0.91476,                0.78113,                0.67377,                0.60876,                 1.1704,             0.00029167,             0.00029167,             0.00029167
                     47,                0.51143,                0.66476,                 1.1964,                0.90421,                0.89254,                0.91121,                0.77528,                0.66998,                0.59453,                 1.1809,             0.00028646,             0.00028646,             0.00028646
                     48,                 0.5149,                0.64899,                 1.1942,                0.90886,                0.89497,                0.91207,                0.77849,                0.66269,                0.59662,                 1.1692,             0.00028125,             0.00028125,             0.00028125
                     49,                0.52152,                0.66643,                 1.1968,                0.89975,                0.89072,                0.91106,                0.77857,                0.66728,                0.59761,                 1.1719,             0.00027604,             0.00027604,             0.00027604
                     50,                0.50981,                0.64603,                 1.1893,                0.89809,                 0.8921,                0.91318,                0.78257,                 0.6788,                0.59169,                 1.1685,             0.00027084,             0.00027084,             0.00027084
                     51,                0.51574,                0.64932,                 1.1953,                0.89446,                 0.8905,                0.91174,                0.77736,                0.67468,                0.63387,                 1.1761,             0.00026563,             0.00026563,             0.00026563
                     52,                0.51098,                0.64172,                 1.1917,                0.89348,                0.89795,                0.91027,                0.77397,                0.67655,                0.57612,                 1.1824,             0.00026042,             0.00026042,             0.00026042
                     53,                0.50692,                0.62951,                 1.1872,                0.91669,                0.88494,                0.91542,                0.77982,                0.66839,                0.58373,                 1.1753,             0.00025522,             0.00025522,             0.00025522
                     54,                 0.5031,                0.62392,                 1.1831,                0.90441,                0.89657,                0.91824,                0.78905,                0.65715,                0.59865,                 1.1611,             0.00025001,             0.00025001,             0.00025001
                     55,                0.50289,                0.61763,                 1.1844,                0.90458,                0.88617,                0.90727,                0.78012,                0.65157,                0.60042,                 1.1636,              0.0002448,              0.0002448,              0.0002448
                     56,                 0.5047,                0.62308,                 1.1845,                0.91069,                0.88804,                0.91659,                 0.7898,                0.65381,                0.56911,                 1.1464,             0.00023959,             0.00023959,             0.00023959
                     57,                0.49487,                0.61131,                 1.1771,                0.90291,                0.89377,                0.91507,                0.78869,                0.66589,                 0.5931,                 1.1638,             0.00023439,             0.00023439,             0.00023439
